X,Y,Name,description
9.276348,45.535673,Cologno Monzese,
9.152937,45.957683,Colonno,
9.729346,46.153693,Colorina,
9.337852,45.37977,Colturano,
9.856155,45.817186,Colzate,
8.67623,45.770974,Comabbio,
9.464654,45.440973,Comazzo,
8.74363,45.843276,Comerio,
9.950064,45.471278,Comezzano-Cizzago,
10.543485,45.037873,Commessaggio,
9.087438,45.809978,Como,
9.659755,45.622679,Comun Nuovo,
10.55,45.55,Comune del Manerba del Garda,
10.4833333,45.55,Comune di Polpenazze,
10.216967,45.605184,Concesio,
9.335948,45.589675,Concorezzo,
8.556336,45.332162,Confienza,
9.293337,46.142989,Consiglio di Rumo,
9.322455,45.196266,Copiano,
8.96835,45.061659,Corana,
8.915841,45.471369,Corbetta,
9.170945,45.539573,Cormano,
9.544848,45.830683,Corna Imagna,
9.744052,45.851486,Cornalba,
8.913049,45.042958,Cornale,
9.026143,45.49697,Cornaredo,
9.46735,45.641678,Cornate d'Adda,
9.487957,45.286169,Cornegliano Laudense,
9.759666,45.133468,Corno Giovine,
9.799367,45.136668,Cornovecchio,
9.307546,45.666577,Correzzana,
9.135535,46.047585,Corrido,
9.11539077758789,45.430503420138,Corsico,
10.007869,45.273174,Corte de' Cortesi con Cignone,
10.101872,45.218473,Corte de' Frati,
9.988462,45.629982,Corte Franca,
9.562158,45.313671,Corte Palasio,
10.2333333,46.1666667,Corteno Golgi,
9.384541,46.000286,Cortenova,
9.787859,45.538978,Cortenuova,
9.369357,45.157865,Corteolona,
9.162455,45.01086,Corvino San Quirico,
10.007366,45.443778,Corzano,
9.551643,46.135091,Cosio Valtellino,
9.378857,45.132165,Costa de' Nobili,
9.793957,45.661981,Costa di Mezzate,
9.741653,45.832685,Costa di Serina,
9.277743,45.766979,Costa Masnaga,
9.502148,45.804882,Costa Valle Imagna,
10.098161,45.829888,Costa Volpino,
9.771259,45.500277,Covo,
8.61104,45.192659,Cozzo,
9.379141,46.023286,Crandola Valsassina,
9.93106,45.660582,Credaro,
9.65606,45.303271,Credera Rubbiano,
9.66826,45.358773,Crema,
9.300645,45.738579,Cremella,
8.803329,45.98938,Cremenaga,
9.468645,45.935485,Cremeno,
9.271137,46.086487,Cremia,
10.027972,45.136171,Cremona,
9.638258,45.394673,Cremosano,
9.575158,45.356672,Crespiatica,
8.770432,45.759974,Crosio della Valle,
9.856467,45.158269,Crotta d'Adda,
8.879232,45.914779,Cuasso al Monte,
9.09294,45.739277,Cucciago,
8.815438,45.510869,Cuggiono,
8.81863,45.945679,Cugliate-Fabiasco,
9.834763,45.355774,Cumignano sul Naviglio,
8.80773,45.934279,Cunardo,
9.255653,45.212465,Cura Carpignano,
